title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Ready for anything,radio,紧急服务,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,A,
,radio,竞争/比赛,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,B,
,radio,挑战,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,C,
,radio,奉献的,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,D,
,radio,支持,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,E,
,radio,捐款,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,F,
,radio,志愿者,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,G,
,radio,调查,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,H,
,radio,侦探,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,I,
,radio,证据,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,J,
,radio,在压力下,emergency services,compete,challenge,dedicated,support,donation,volunteer,investigation,detective,evidence,under pressure,K,
