title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Globetrotting,radio,旅行,travel,holiday,country,map,river,forest,animal,culture,guide,airport,A,
,radio,假期,travel,holiday,country,map,river,forest,animal,culture,guide,airport,B,
,radio,国家,travel,holiday,country,map,river,forest,animal,culture,guide,airport,C,
,radio,地图,travel,holiday,country,map,river,forest,animal,culture,guide,airport,D,
,radio,河流,travel,holiday,country,map,river,forest,animal,culture,guide,airport,E,
,radio,森林,travel,holiday,country,map,river,forest,animal,culture,guide,airport,F,
,radio,动物,travel,holiday,country,map,river,forest,animal,culture,guide,airport,G,
,radio,文化,travel,holiday,country,map,river,forest,animal,culture,guide,airport,H,
,radio,导游/指南,travel,holiday,country,map,river,forest,animal,culture,guide,airport,I,
,radio,机场,travel,holiday,country,map,river,forest,animal,culture,guide,airport,J,
