title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Image,radio,自尊,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,A,
,radio,印象,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,B,
,radio,个性,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,C,
,radio,外貌特征,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,D,
,radio,肤色,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,E,
,radio,发型,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,F,
,radio,时髦的,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,G,
,radio,全套服装,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,H,
,radio,形象改造,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,I,
,radio,给予建议,self-esteem,impression,personality,physical feature,complexion,hairstyle,stylish,outfit,makeover,give advice,J,
