title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Image,radio,外貌,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,A,
,radio,有吸引力的,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,B,
,radio,休闲的,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,C,
,radio,正式的,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,D,
,radio,合适的,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,E,
,radio,舒服的,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,F,
,radio,整洁漂亮的,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,G,
,radio,潮流,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,H,
,radio,设计师,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,I,
,radio,配饰,appearance,attractive,casual,formal,suitable,comfortable,smart,trend,designer,accessory,J,
,radio,珠宝首饰,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,A,
,radio,化妆品/化妆,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,B,
,radio,自信心,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,C,
,radio,建议,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,D,
,radio,推荐,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,E,
,radio,建议,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,F,
,radio,更喜欢,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,G,
,radio,搭配,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,H,
,radio,合身,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,I,
,radio,看起来好看,jewellery,make-up,self-confidence,advice,recommendation,suggest,prefer,match,fit,look good,J,
