title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Time out,radio,爱好,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,A,
,radio,运动,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,B,
,radio,电影,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,C,
,radio,游戏/比赛,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,D,
,radio,队伍,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,E,
,radio,球员/玩家,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,F,
,radio,票,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,G,
,radio,相机,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,H,
,radio,演唱会,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,I,
,radio,借入,hobby,sport,film,game,team,player,ticket,camera,concert,borrow,J,
