title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Being a teen,radio,优点,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,A,
,radio,缺点,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,B,
,radio,强制性的,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,C,
,radio,私人补习老师,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,D,
,radio,互动白板,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,E,
,radio,电子书,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,F,
,radio,课本,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,G,
,radio,图书馆,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,H,
,radio,学习,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,I,
,radio,知识,advantage,disadvantage,compulsory,private tutor,interactive whiteboard,e-book,textbook,library,learning,knowledge,J,
,radio,同侪压力,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,A,
,radio,自信,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,B,
,radio,尊重,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,C,
,radio,一代人,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,D,
,radio,青年文化,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,E,
,radio,节奏,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,F,
,radio,歌词,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,G,
,radio,说唱,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,H,
,radio,表演,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,I,
,radio,著名的,peer pressure,confidence,respect,generation,youth culture,rhythm,lyrics,rap,perform,famous,J,
