title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Ready for anything,radio,慈善,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,A,
,radio,勇敢的,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,B,
,radio,危险,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,C,
,radio,意外,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,D,
,radio,救援,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,E,
,radio,帮助,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,F,
,radio,害怕的,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,G,
,radio,兴奋的,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,H,
,radio,焦虑的,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,I,
,radio,筹款,charity,brave,danger,accident,rescue,help,terrified,thrilled,anxious,raise money,J,
