title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Buy it!,radio,面试,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,A,
,radio,申请,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,B,
,radio,有空/可获得的,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,C,
,radio,负责任的,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,D,
,radio,经验,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,E,
,radio,职位,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,F,
,radio,神秘顾客,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,G,
,radio,零售商,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,H,
,radio,走道,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,I,
,radio,策略,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,J,
,radio,冲动购物,interview,application,available,responsible,experience,position,mystery shopper,retailer,aisle,strategy,impulse buying,K,
