title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Buy it!,radio,零钱,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,A,
,radio,折扣,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,B,
,radio,优惠券,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,C,
,radio,退款,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,D,
,radio,更换/交换,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,E,
,radio,提款机,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,F,
,radio,纸币,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,G,
,radio,硬币,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,H,
,radio,值得/价值,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,I,
,radio,物有所值,change,discount,coupon,refund,exchange,cash machine,notes,coins,worth,value for money,J,
,radio,负担得起,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,A,
,radio,广告,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,B,
,radio,产品,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,C,
,radio,特点,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,D,
,radio,品质,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,E,
,radio,品牌,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,F,
,radio,消费者,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,G,
,radio,店员,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,H,
,radio,兼职工作,afford,advertisement,product,feature,quality,brand,consumer,shop assistant,part-time job,refund,I,
