title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Let's chat,radio,安装,install,press,scroll,click,type,print,delete,save,screen,keyboard,A,
,radio,按下,install,press,scroll,click,type,print,delete,save,screen,keyboard,B,
,radio,滚动页面,install,press,scroll,click,type,print,delete,save,screen,keyboard,C,
,radio,点击,install,press,scroll,click,type,print,delete,save,screen,keyboard,D,
,radio,打字,install,press,scroll,click,type,print,delete,save,screen,keyboard,E,
,radio,打印,install,press,scroll,click,type,print,delete,save,screen,keyboard,F,
,radio,删除,install,press,scroll,click,type,print,delete,save,screen,keyboard,G,
,radio,保存,install,press,scroll,click,type,print,delete,save,screen,keyboard,H,
,radio,屏幕,install,press,scroll,click,type,print,delete,save,screen,keyboard,I,
,radio,键盘,install,press,scroll,click,type,print,delete,save,screen,keyboard,J,
,radio,密码,password,profile,comment,share,website,webpage,contact,keyboard,scroll,click,A,
,radio,个人资料,password,profile,comment,share,website,webpage,contact,keyboard,scroll,click,B,
,radio,评论,password,profile,comment,share,website,webpage,contact,keyboard,scroll,click,C,
,radio,分享,password,profile,comment,share,website,webpage,contact,keyboard,scroll,click,D,
,radio,网站,password,profile,comment,share,website,webpage,contact,keyboard,scroll,click,E,
,radio,网页,password,profile,comment,share,website,webpage,contact,keyboard,scroll,click,F,
,radio,联系,password,profile,comment,share,website,webpage,contact,keyboard,scroll,click,G,
