title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Buy it!,radio,购物,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,A,
,radio,商店/购物,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,B,
,radio,价格,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,C,
,radio,现金,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,D,
,radio,信用卡,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,E,
,radio,促销,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,F,
,radio,购买,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,G,
,radio,售卖,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,H,
,radio,顾客,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,I,
,radio,收据,shopping,shop,price,cash,credit card,sale,buy,sell,customer,receipt,J,
